freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.511e+02,4.920e+02,1.066e+03,2.409e+03
1.6,3.265e+03,1.784e+03,7.889e+02,5.838e+03
3.2,3.296e+03,1.588e+03,2.617e+02,5.146e+03
4.8,3.876e+03,2.046e+03,8.522e+02,6.774e+03
6.4,4.180e+03,2.197e+03,2.266e+03,8.643e+03
8.0,5.434e+03,2.865e+03,3.525e+03,1.182e+04
9.5,6.647e+03,3.063e+03,4.789e+03,1.450e+04
11.1,6.344e+03,2.952e+03,6.232e+03,1.553e+04
12.7,5.034e+03,2.683e+03,8.135e+03,1.585e+04
14.3,4.766e+03,2.799e+03,1.076e+04,1.832e+04
15.9,6.040e+03,3.154e+03,1.389e+04,2.308e+04
17.5,7.169e+03,3.467e+03,1.519e+04,2.582e+04
19.1,6.313e+03,3.261e+03,1.681e+04,2.638e+04
20.7,5.223e+03,2.878e+03,2.111e+04,2.921e+04
22.3,4.848e+03,3.113e+03,2.655e+04,3.451e+04
23.9,6.115e+03,3.520e+03,3.196e+04,4.160e+04
25.5,5.160e+03,3.087e+03,3.623e+04,4.448e+04
27.1,3.952e+03,2.337e+03,3.697e+04,4.326e+04
28.6,3.654e+03,2.561e+03,3.893e+04,4.514e+04
30.2,4.400e+03,2.548e+03,4.272e+04,4.967e+04
31.8,4.120e+03,2.100e+03,4.870e+04,5.492e+04
33.4,4.131e+03,2.270e+03,5.488e+04,6.128e+04
35.0,4.110e+03,2.283e+03,5.702e+04,6.342e+04
36.6,3.526e+03,2.131e+03,6.097e+04,6.663e+04
38.2,3.682e+03,2.493e+03,6.884e+04,7.501e+04
39.8,3.985e+03,2.739e+03,7.789e+04,8.462e+04
41.4,3.563e+03,2.675e+03,8.784e+04,9.408e+04
43.0,3.447e+03,2.530e+03,9.925e+04,1.052e+05
44.6,3.964e+03,2.730e+03,1.139e+05,1.206e+05
46.2,4.273e+03,2.510e+03,1.324e+05,1.392e+05
47.7,4.374e+03,2.815e+03,1.521e+05,1.593e+05
49.3,4.293e+03,3.052e+03,1.653e+05,1.726e+05
50.9,3.821e+03,3.052e+03,1.634e+05,1.703e+05
52.5,3.629e+03,6.989e+03,1.641e+05,1.747e+05
54.1,3.865e+03,1.846e+04,1.785e+05,2.009e+05
55.7,4.371e+03,2.290e+04,2.021e+05,2.293e+05
57.3,5.449e+03,3.067e+04,2.345e+05,2.706e+05
58.9,5.876e+03,3.803e+04,2.677e+05,3.116e+05
60.5,5.488e+03,3.479e+04,2.726e+05,3.129e+05
62.1,5.391e+03,2.884e+04,2.939e+05,3.281e+05
63.7,7.276e+03,4.323e+04,3.618e+05,4.123e+05
65.2,8.955e+03,5.225e+04,4.331e+05,4.943e+05
66.8,1.152e+04,5.498e+04,4.220e+05,4.885e+05
