freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.055e+03,1.840e+02,1.150e+02,1.354e+03
1.6,9.635e+02,3.242e+02,2.300e+02,1.518e+03
3.2,5.283e+02,2.824e+02,2.243e+02,1.035e+03
4.8,1.173e+03,2.628e+02,2.118e+02,1.648e+03
6.4,2.649e+03,2.611e+02,2.245e+02,3.134e+03
8.0,4.097e+03,2.713e+02,2.282e+02,4.597e+03
9.6,5.816e+03,2.822e+02,2.334e+02,6.331e+03
11.1,8.233e+03,2.879e+02,2.098e+02,8.731e+03
12.7,1.146e+04,2.904e+02,2.118e+02,1.196e+04
14.3,1.637e+04,3.420e+02,3.486e+02,1.706e+04
15.9,1.982e+04,4.377e+02,9.436e+02,2.121e+04
17.5,1.832e+04,4.496e+02,1.260e+03,2.003e+04
19.1,1.763e+04,4.330e+02,1.037e+03,1.910e+04
20.7,1.544e+04,3.973e+02,8.486e+02,1.668e+04
22.3,1.776e+04,3.602e+02,9.059e+02,1.903e+04
23.9,2.336e+04,3.364e+02,1.066e+03,2.476e+04
25.5,2.972e+04,3.011e+02,9.950e+02,3.102e+04
27.1,3.638e+04,2.779e+02,8.641e+02,3.752e+04
28.7,4.347e+04,3.119e+02,8.670e+02,4.465e+04
30.3,5.343e+04,3.428e+02,1.289e+03,5.507e+04
31.8,6.397e+04,4.288e+02,2.271e+03,6.667e+04
33.4,6.670e+04,5.007e+02,3.006e+03,7.021e+04
35.0,6.489e+04,4.637e+02,2.384e+03,6.774e+04
36.6,6.854e+04,5.795e+02,1.462e+03,7.058e+04
38.2,7.473e+04,7.977e+02,1.142e+03,7.667e+04
39.8,8.045e+04,8.962e+02,1.061e+03,8.241e+04
41.4,9.025e+04,1.026e+03,8.947e+02,9.218e+04
43.0,1.039e+05,1.077e+03,8.413e+02,1.058e+05
44.6,1.203e+05,1.120e+03,9.513e+02,1.224e+05
46.2,1.401e+05,1.146e+03,1.219e+03,1.424e+05
47.8,1.639e+05,1.175e+03,1.653e+03,1.667e+05
49.4,1.886e+05,1.446e+03,2.415e+03,1.925e+05
51.0,2.167e+05,1.654e+03,2.929e+03,2.213e+05
52.5,2.495e+05,2.103e+03,2.401e+03,2.540e+05
54.1,2.926e+05,3.055e+03,1.763e+03,2.975e+05
55.7,3.482e+05,4.194e+03,1.604e+03,3.540e+05
57.3,4.183e+05,5.720e+03,1.892e+03,4.259e+05
58.9,4.987e+05,7.432e+03,2.579e+03,5.087e+05
60.5,5.913e+05,8.580e+03,3.991e+03,6.039e+05
62.1,6.900e+05,9.392e+03,4.124e+03,7.035e+05
63.7,8.576e+05,1.077e+04,4.567e+03,8.729e+05
65.3,1.113e+06,1.352e+04,1.051e+04,1.137e+06
66.9,1.414e+06,1.601e+04,2.250e+04,1.452e+06
68.5,1.687e+06,1.963e+04,2.896e+04,1.735e+06
70.1,2.078e+06,2.627e+04,4.916e+04,2.153e+06
71.6,2.928e+06,7.224e+04,1.091e+05,3.109e+06
73.2,3.595e+06,1.693e+05,2.263e+05,3.990e+06
74.8,3.344e+06,2.617e+05,3.402e+05,3.945e+06
76.4,2.912e+06,3.079e+05,3.918e+05,3.612e+06
78.0,2.291e+06,3.826e+05,4.230e+05,3.097e+06
79.6,1.626e+06,4.955e+05,4.417e+05,2.564e+06
81.2,1.255e+06,5.743e+05,4.672e+05,2.296e+06
82.8,1.009e+06,6.520e+05,4.999e+05,2.161e+06
84.4,9.144e+05,7.513e+05,5.642e+05,2.230e+06
86.0,8.937e+05,8.915e+05,6.147e+05,2.400e+06
87.6,9.529e+05,9.415e+05,6.010e+05,2.495e+06
89.2,1.003e+06,6.387e+05,5.014e+05,2.143e+06
90.8,1.130e+06,4.946e+05,3.301e+05,1.955e+06
92.3,1.431e+06,3.585e+05,1.643e+05,1.953e+06
93.9,1.370e+06,2.810e+05,1.114e+05,1.763e+06
95.5,1.242e+06,9.376e+04,1.117e+05,1.448e+06
97.1,1.136e+06,7.026e+04,1.096e+05,1.316e+06
98.7,1.079e+06,1.164e+05,9.899e+04,1.294e+06
100.3,1.111e+06,1.636e+05,6.240e+04,1.337e+06
101.9,1.227e+06,1.871e+05,3.080e+04,1.445e+06
103.5,1.372e+06,2.007e+05,1.310e+04,1.586e+06
105.1,1.373e+06,1.832e+05,1.626e+04,1.573e+06
106.7,1.373e+06,1.522e+05,2.861e+04,1.554e+06
108.3,1.422e+06,1.547e+05,4.432e+04,1.621e+06
109.9,1.298e+06,2.083e+05,5.278e+04,1.559e+06
111.5,1.062e+06,2.347e+05,4.628e+04,1.343e+06
113.0,9.816e+05,2.135e+05,2.229e+04,1.217e+06
114.6,9.543e+05,1.920e+05,2.352e+04,1.170e+06
116.2,9.171e+05,1.881e+05,4.144e+04,1.147e+06
117.8,8.968e+05,1.914e+05,5.699e+04,1.145e+06
119.4,8.777e+05,1.925e+05,6.774e+04,1.138e+06
121.0,8.558e+05,1.867e+05,6.949e+04,1.112e+06
122.6,8.305e+05,1.745e+05,7.366e+04,1.079e+06
124.2,7.890e+05,1.611e+05,7.270e+04,1.023e+06
125.8,7.589e+05,1.494e+05,6.245e+04,9.707e+05
127.4,7.317e+05,1.342e+05,4.959e+04,9.155e+05
129.0,7.092e+05,1.185e+05,4.473e+04,8.724e+05
130.6,6.836e+05,1.015e+05,4.319e+04,8.283e+05
132.2,6.605e+05,8.465e+04,4.169e+04,7.869e+05
133.7,6.371e+05,6.963e+04,3.945e+04,7.462e+05
135.3,6.028e+05,5.750e+04,4.024e+04,7.006e+05
136.9,5.863e+05,5.052e+04,3.726e+04,6.741e+05
138.5,5.788e+05,4.711e+04,3.236e+04,6.583e+05
140.1,5.663e+05,4.447e+04,2.754e+04,6.383e+05
141.7,5.624e+05,4.288e+04,2.476e+04,6.301e+05
143.3,5.557e+05,4.236e+04,2.331e+04,6.213e+05
144.9,5.512e+05,4.136e+04,2.968e+04,6.222e+05
146.5,5.531e+05,4.013e+04,4.167e+04,6.349e+05
148.1,5.277e+05,3.896e+04,5.289e+04,6.195e+05
149.7,2.729e+05,2.639e+04,5.592e+04,3.553e+05
151.3,5.580e+04,1.714e+04,4.396e+04,1.169e+05
152.9,4.778e+04,1.640e+04,2.338e+04,8.756e+04
154.4,5.307e+04,1.766e+04,1.922e+04,8.995e+04
156.0,4.633e+04,2.334e+04,2.534e+04,9.502e+04
157.6,3.540e+04,3.184e+04,3.261e+04,9.985e+04
159.2,3.010e+04,3.394e+04,3.356e+04,9.760e+04
160.8,2.730e+04,3.647e+04,3.154e+04,9.531e+04
162.4,2.584e+04,3.969e+04,2.992e+04,9.545e+04
164.0,2.664e+04,4.268e+04,2.777e+04,9.709e+04
165.6,2.820e+04,4.482e+04,2.465e+04,9.767e+04
167.2,2.775e+04,4.635e+04,2.194e+04,9.603e+04
168.8,2.640e+04,4.731e+04,2.044e+04,9.414e+04
170.4,2.705e+04,4.835e+04,1.959e+04,9.499e+04
172.0,2.915e+04,5.108e+04,1.771e+04,9.794e+04
173.5,3.189e+04,5.462e+04,1.525e+04,1.018e+05
175.1,3.669e+04,5.704e+04,1.451e+04,1.082e+05
176.7,4.692e+04,4.526e+04,1.179e+04,1.040e+05
178.3,7.123e+04,3.158e+04,1.487e+04,1.177e+05
179.9,7.515e+04,2.632e+04,1.847e+04,1.199e+05
181.5,6.011e+04,1.923e+04,1.554e+04,9.488e+04
183.1,3.620e+04,8.202e+03,5.899e+03,5.030e+04
184.7,3.356e+04,4.009e+03,3.479e+03,4.104e+04
186.3,3.701e+04,4.018e+03,3.485e+03,4.451e+04
187.9,3.943e+04,5.701e+03,4.187e+03,4.932e+04
189.5,4.132e+04,6.396e+03,3.616e+03,5.133e+04
191.1,5.304e+04,6.658e+03,4.316e+03,6.402e+04
192.7,5.952e+04,7.619e+03,5.645e+03,7.278e+04
194.2,4.875e+04,8.717e+03,6.348e+03,6.382e+04
195.8,2.791e+04,1.154e+04,4.524e+03,4.398e+04
197.4,2.009e+04,2.008e+04,3.950e+03,4.412e+04
199.0,1.702e+04,2.855e+04,3.911e+03,4.948e+04
