freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.479e+01,8.134e+01,1.779e+03,1.915e+03
1.6,2.141e+02,2.698e+02,1.195e+03,1.678e+03
3.2,2.826e+02,3.164e+02,2.565e+02,8.555e+02
4.8,2.963e+02,4.088e+02,8.582e+02,1.563e+03
6.4,2.697e+02,3.328e+02,2.230e+03,2.832e+03
8.0,3.068e+02,3.821e+02,3.545e+03,4.233e+03
9.6,3.898e+02,4.376e+02,4.774e+03,5.601e+03
11.1,3.766e+02,4.581e+02,6.094e+03,6.929e+03
12.7,3.254e+02,3.915e+02,8.138e+03,8.855e+03
14.3,2.643e+02,3.166e+02,1.052e+04,1.110e+04
15.9,2.875e+02,2.962e+02,1.347e+04,1.405e+04
17.5,2.689e+02,3.016e+02,1.696e+04,1.753e+04
19.1,3.058e+02,3.453e+02,1.966e+04,2.031e+04
20.7,3.184e+02,3.415e+02,2.191e+04,2.257e+04
22.3,3.640e+02,4.433e+02,2.523e+04,2.604e+04
23.9,3.790e+02,5.296e+02,3.076e+04,3.167e+04
25.5,3.681e+02,5.317e+02,3.597e+04,3.687e+04
27.1,3.446e+02,4.232e+02,3.744e+04,3.820e+04
28.7,3.165e+02,3.595e+02,3.828e+04,3.895e+04
30.3,3.904e+02,3.782e+02,3.999e+04,4.076e+04
31.9,5.523e+02,5.077e+02,4.307e+04,4.413e+04
33.4,8.019e+02,6.695e+02,4.882e+04,5.029e+04
35.0,7.298e+02,6.467e+02,5.467e+04,5.605e+04
36.6,4.875e+02,4.578e+02,5.983e+04,6.077e+04
38.2,3.656e+02,3.603e+02,6.723e+04,6.796e+04
39.8,3.174e+02,3.444e+02,7.474e+04,7.541e+04
41.4,3.851e+02,3.820e+02,8.277e+04,8.354e+04
43.0,4.243e+02,3.505e+02,9.301e+04,9.378e+04
44.6,4.801e+02,3.666e+02,1.050e+05,1.058e+05
46.2,5.317e+02,4.829e+02,1.174e+05,1.184e+05
47.8,6.040e+02,5.926e+02,1.299e+05,1.311e+05
49.4,5.442e+02,5.133e+02,1.454e+05,1.464e+05
51.0,4.816e+02,4.245e+02,1.632e+05,1.641e+05
52.6,5.143e+02,4.761e+02,1.821e+05,1.831e+05
54.2,5.563e+02,5.029e+02,2.019e+05,2.030e+05
55.7,6.288e+02,5.729e+02,2.243e+05,2.255e+05
57.3,7.124e+02,5.754e+02,2.412e+05,2.425e+05
58.9,6.599e+02,4.853e+02,2.549e+05,2.561e+05
60.5,6.053e+02,3.874e+02,2.781e+05,2.791e+05
62.1,6.361e+02,3.612e+02,3.116e+05,3.126e+05
63.7,8.502e+02,3.201e+02,3.562e+05,3.574e+05
65.3,1.150e+03,3.757e+02,4.195e+05,4.210e+05
66.9,1.443e+03,6.359e+02,4.508e+05,4.529e+05
68.5,1.808e+03,7.939e+02,4.449e+05,4.475e+05
70.1,2.545e+03,6.869e+02,5.079e+05,5.111e+05
71.7,3.370e+03,5.859e+02,6.022e+05,6.062e+05
73.3,4.893e+03,5.322e+02,7.194e+05,7.248e+05
74.9,7.028e+03,4.648e+02,8.533e+05,8.608e+05
76.5,1.056e+04,4.319e+02,1.013e+06,1.024e+06
78.0,1.567e+04,4.150e+02,1.191e+06,1.207e+06
79.6,1.875e+04,6.379e+02,1.343e+06,1.363e+06
81.2,1.875e+04,2.014e+03,1.449e+06,1.469e+06
82.8,1.761e+04,4.619e+03,1.546e+06,1.568e+06
84.4,1.434e+04,7.530e+03,1.690e+06,1.711e+06
86.0,1.379e+04,1.110e+04,1.923e+06,1.948e+06
87.6,2.260e+04,1.826e+04,2.319e+06,2.360e+06
89.2,3.849e+04,3.661e+04,2.972e+06,3.047e+06
90.8,4.975e+04,3.018e+05,3.914e+06,4.266e+06
92.4,4.521e+04,8.005e+05,5.351e+06,6.197e+06
94.0,7.692e+04,6.399e+05,7.753e+06,8.470e+06
95.6,1.275e+05,2.663e+05,1.090e+07,1.129e+07
97.2,1.442e+05,7.287e+04,1.348e+07,1.369e+07
98.7,1.396e+05,4.273e+04,1.446e+07,1.464e+07
100.3,1.298e+05,2.918e+04,1.419e+07,1.435e+07
101.9,1.269e+05,2.835e+04,1.323e+07,1.338e+07
103.5,1.150e+05,1.257e+04,1.172e+07,1.184e+07
105.1,1.017e+05,1.059e+04,1.031e+07,1.042e+07
106.7,9.344e+04,3.080e+04,9.037e+06,9.162e+06
108.3,8.680e+04,7.530e+04,7.540e+06,7.702e+06
109.9,7.646e+04,1.145e+05,6.149e+06,6.340e+06
111.5,6.893e+04,1.278e+05,5.109e+06,5.306e+06
113.1,6.416e+04,1.126e+05,4.377e+06,4.554e+06
114.7,5.951e+04,8.507e+04,3.860e+06,4.004e+06
116.3,5.511e+04,6.962e+04,3.384e+06,3.509e+06
117.9,5.221e+04,7.455e+04,2.928e+06,3.055e+06
119.5,4.923e+04,7.615e+04,2.533e+06,2.658e+06
121.0,4.580e+04,7.105e+04,2.220e+06,2.337e+06
122.6,4.301e+04,6.324e+04,1.968e+06,2.074e+06
124.2,3.967e+04,5.348e+04,1.782e+06,1.876e+06
125.8,3.599e+04,4.532e+04,1.667e+06,1.748e+06
127.4,3.245e+04,3.845e+04,1.567e+06,1.638e+06
129.0,2.880e+04,3.221e+04,1.502e+06,1.563e+06
130.6,2.527e+04,2.867e+04,1.435e+06,1.489e+06
132.2,2.181e+04,2.631e+04,1.365e+06,1.413e+06
133.8,2.004e+04,2.416e+04,1.280e+06,1.325e+06
135.4,1.976e+04,2.126e+04,1.176e+06,1.217e+06
137.0,1.844e+04,1.823e+04,1.089e+06,1.125e+06
138.6,1.724e+04,1.560e+04,1.008e+06,1.040e+06
140.2,1.506e+04,1.323e+04,1.082e+06,1.110e+06
141.8,1.842e+04,1.144e+04,1.322e+06,1.352e+06
143.3,2.361e+04,1.189e+04,1.330e+06,1.365e+06
144.9,2.763e+04,1.194e+04,1.269e+06,1.308e+06
146.5,2.941e+04,1.163e+04,1.220e+06,1.261e+06
148.1,2.931e+04,1.136e+04,1.144e+06,1.185e+06
149.7,1.624e+04,7.180e+03,6.184e+05,6.418e+05
151.3,2.469e+03,1.850e+03,5.996e+04,6.428e+04
152.9,1.297e+03,1.375e+03,6.460e+03,9.132e+03
154.5,1.332e+03,1.495e+03,6.286e+03,9.113e+03
156.1,1.292e+03,1.657e+03,6.956e+03,9.905e+03
157.7,1.308e+03,1.836e+03,8.323e+03,1.147e+04
159.3,1.182e+03,2.209e+03,9.638e+03,1.303e+04
160.9,1.186e+03,2.399e+03,1.069e+04,1.428e+04
162.5,1.236e+03,2.336e+03,1.205e+04,1.562e+04
164.0,1.277e+03,2.291e+03,1.332e+04,1.689e+04
165.6,1.341e+03,2.350e+03,1.422e+04,1.791e+04
167.2,1.367e+03,2.534e+03,1.494e+04,1.884e+04
168.8,1.354e+03,2.693e+03,1.633e+04,2.037e+04
170.4,1.424e+03,2.823e+03,1.741e+04,2.165e+04
172.0,1.430e+03,2.850e+03,1.739e+04,2.167e+04
173.6,1.437e+03,3.094e+03,1.702e+04,2.155e+04
175.2,1.590e+03,3.351e+03,1.642e+04,2.136e+04
176.8,2.198e+03,3.331e+03,1.635e+04,2.188e+04
178.4,4.002e+03,3.224e+03,1.561e+04,2.284e+04
180.0,8.557e+03,3.712e+03,1.482e+04,2.709e+04
181.6,2.439e+04,5.267e+03,1.502e+04,4.467e+04
183.2,8.454e+04,1.034e+04,1.904e+04,1.139e+05
184.8,1.355e+05,1.647e+04,2.477e+04,1.767e+05
186.3,1.171e+05,1.750e+04,2.377e+04,1.583e+05
187.9,8.527e+04,1.739e+04,2.006e+04,1.227e+05
189.5,4.821e+04,2.015e+04,1.529e+04,8.366e+04
191.1,2.054e+04,2.299e+04,1.327e+04,5.680e+04
192.7,9.512e+03,1.910e+04,1.484e+04,4.345e+04
194.3,1.032e+04,2.267e+04,1.711e+04,5.010e+04
195.9,6.310e+03,2.802e+04,1.308e+04,4.742e+04
197.5,6.688e+03,2.312e+04,1.099e+04,4.080e+04
199.1,9.156e+03,2.097e+04,1.118e+04,4.131e+04
