freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.634e+03,1.595e+02,1.380e+02,1.932e+03
1.6,1.142e+03,2.986e+02,3.020e+02,1.742e+03
3.2,3.137e+02,3.005e+02,2.848e+02,8.990e+02
4.8,9.422e+02,3.240e+02,2.925e+02,1.559e+03
6.4,2.496e+03,3.047e+02,3.012e+02,3.102e+03
8.0,3.857e+03,2.959e+02,2.923e+02,4.445e+03
9.6,5.530e+03,3.073e+02,2.894e+02,6.126e+03
11.2,7.543e+03,3.509e+02,2.872e+02,8.181e+03
12.7,9.899e+03,3.416e+02,2.920e+02,1.053e+04
14.3,1.284e+04,3.236e+02,2.796e+02,1.345e+04
15.9,1.655e+04,3.159e+02,2.827e+02,1.715e+04
17.5,2.157e+04,3.258e+02,3.031e+02,2.220e+04
19.1,2.712e+04,3.284e+02,3.133e+02,2.776e+04
20.7,2.535e+04,3.270e+02,3.355e+02,2.601e+04
22.3,2.146e+04,3.468e+02,3.615e+02,2.217e+04
23.9,2.364e+04,3.335e+02,3.190e+02,2.429e+04
25.5,2.927e+04,3.360e+02,3.053e+02,2.991e+04
27.1,3.637e+04,3.300e+02,3.008e+02,3.700e+04
28.7,4.463e+04,3.287e+02,3.127e+02,4.527e+04
30.3,5.273e+04,3.322e+02,3.562e+02,5.342e+04
31.9,6.108e+04,3.975e+02,4.845e+02,6.196e+04
33.5,6.774e+04,5.490e+02,5.761e+02,6.887e+04
35.1,7.205e+04,6.557e+02,5.286e+02,7.324e+04
36.7,7.950e+04,6.899e+02,4.266e+02,8.061e+04
38.2,9.074e+04,6.745e+02,3.797e+02,9.179e+04
39.8,1.014e+05,6.340e+02,3.868e+02,1.024e+05
41.4,1.085e+05,5.741e+02,3.761e+02,1.094e+05
43.0,1.188e+05,5.434e+02,3.497e+02,1.197e+05
44.6,1.314e+05,5.404e+02,3.653e+02,1.323e+05
46.2,1.430e+05,6.589e+02,3.680e+02,1.440e+05
47.8,1.618e+05,6.945e+02,3.234e+02,1.628e+05
49.4,1.874e+05,7.336e+02,2.919e+02,1.884e+05
51.0,2.204e+05,7.191e+02,2.681e+02,2.214e+05
52.6,2.626e+05,7.482e+02,3.046e+02,2.636e+05
54.2,3.069e+05,7.960e+02,3.139e+02,3.080e+05
55.8,3.611e+05,8.116e+02,3.074e+02,3.622e+05
57.4,4.338e+05,7.757e+02,3.144e+02,4.349e+05
59.0,5.285e+05,7.382e+02,3.581e+02,5.296e+05
60.6,6.515e+05,7.259e+02,4.440e+02,6.526e+05
62.2,7.983e+05,7.727e+02,8.144e+02,7.998e+05
63.7,1.001e+06,8.544e+02,1.514e+03,1.004e+06
65.3,1.316e+06,1.229e+03,2.740e+03,1.320e+06
66.9,1.743e+06,3.352e+03,6.906e+03,1.753e+06
68.5,2.257e+06,6.822e+03,1.711e+04,2.281e+06
70.1,2.958e+06,1.464e+04,3.085e+04,3.003e+06
71.7,3.876e+06,3.847e+04,4.896e+04,3.963e+06
73.3,4.771e+06,7.324e+04,7.792e+04,4.922e+06
74.9,5.716e+06,1.212e+05,1.214e+05,5.958e+06
76.5,6.671e+06,2.321e+05,1.970e+05,7.100e+06
78.1,7.673e+06,4.613e+05,3.393e+05,8.473e+06
79.7,7.899e+06,6.010e+05,4.277e+05,8.928e+06
81.3,7.737e+06,6.623e+05,4.650e+05,8.865e+06
82.9,7.205e+06,7.085e+05,4.538e+05,8.367e+06
84.5,6.428e+06,7.433e+05,4.368e+05,7.609e+06
86.1,5.545e+06,7.613e+05,4.299e+05,6.736e+06
87.6,4.636e+06,7.702e+05,4.166e+05,5.822e+06
89.2,3.711e+06,7.717e+05,3.993e+05,4.882e+06
90.8,3.042e+06,7.131e+05,3.571e+05,4.112e+06
92.4,2.674e+06,6.282e+05,2.871e+05,3.590e+06
94.0,2.411e+06,4.898e+05,2.377e+05,3.139e+06
95.6,2.163e+06,2.029e+05,1.329e+05,2.499e+06
97.2,1.877e+06,3.617e+04,5.012e+04,1.964e+06
98.8,1.602e+06,1.285e+04,4.754e+04,1.662e+06
100.4,1.422e+06,1.124e+04,6.074e+04,1.494e+06
102.0,1.290e+06,1.209e+04,1.316e+05,1.434e+06
103.6,1.173e+06,1.171e+04,2.583e+05,1.443e+06
105.2,1.070e+06,1.464e+04,3.696e+05,1.455e+06
106.8,1.003e+06,2.351e+04,3.755e+05,1.402e+06
108.4,9.806e+05,3.801e+04,2.811e+05,1.300e+06
110.0,9.610e+05,4.774e+04,1.754e+05,1.184e+06
111.6,9.233e+05,3.698e+04,1.062e+05,1.066e+06
113.1,8.598e+05,1.709e+04,1.144e+05,9.913e+05
114.7,7.937e+05,1.293e+04,1.509e+05,9.575e+05
