freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.875e+02,2.948e+02,4.197e+03,4.880e+03
1.6,1.839e+03,2.349e+03,2.686e+03,6.874e+03
3.2,2.038e+03,1.904e+03,3.957e+02,4.338e+03
4.8,2.277e+03,1.716e+03,1.781e+03,5.774e+03
6.4,2.625e+03,1.756e+03,4.965e+03,9.346e+03
8.0,2.782e+03,1.616e+03,7.951e+03,1.235e+04
9.6,2.513e+03,1.427e+03,1.123e+04,1.516e+04
11.2,2.336e+03,1.526e+03,1.516e+04,1.902e+04
12.8,2.260e+03,1.519e+03,1.966e+04,2.344e+04
14.3,2.472e+03,1.437e+03,2.504e+04,2.895e+04
15.9,2.456e+03,1.448e+03,3.208e+04,3.599e+04
17.5,2.281e+03,1.491e+03,3.971e+04,4.348e+04
19.1,2.255e+03,1.532e+03,4.511e+04,4.890e+04
20.7,2.286e+03,1.444e+03,5.261e+04,5.634e+04
22.3,2.514e+03,1.350e+03,6.179e+04,6.565e+04
23.9,2.501e+03,1.395e+03,7.480e+04,7.869e+04
25.5,2.475e+03,1.688e+03,8.652e+04,9.069e+04
27.1,2.601e+03,1.633e+03,9.020e+04,9.443e+04
28.7,2.256e+03,1.607e+03,9.161e+04,9.547e+04
30.3,2.438e+03,1.749e+03,9.725e+04,1.014e+05
31.9,2.566e+03,1.589e+03,1.081e+05,1.122e+05
33.5,2.431e+03,1.556e+03,1.221e+05,1.261e+05
35.1,2.355e+03,1.603e+03,1.350e+05,1.390e+05
36.7,2.121e+03,2.003e+03,1.499e+05,1.540e+05
38.3,1.964e+03,1.972e+03,1.681e+05,1.720e+05
39.9,1.824e+03,1.640e+03,1.884e+05,1.919e+05
41.4,1.883e+03,1.535e+03,2.127e+05,2.162e+05
43.0,1.795e+03,1.427e+03,2.379e+05,2.411e+05
44.6,2.019e+03,1.536e+03,2.660e+05,2.695e+05
46.2,2.002e+03,2.367e+03,2.986e+05,3.030e+05
47.8,1.996e+03,2.404e+03,3.364e+05,3.408e+05
49.4,2.167e+03,2.216e+03,3.810e+05,3.853e+05
51.0,2.662e+03,3.153e+03,4.285e+05,4.343e+05
52.6,2.949e+03,2.631e+03,4.775e+05,4.831e+05
54.2,2.897e+03,1.766e+03,5.282e+05,5.329e+05
55.8,3.117e+03,1.909e+03,5.778e+05,5.828e+05
57.4,2.984e+03,1.969e+03,6.292e+05,6.342e+05
59.0,2.405e+03,1.956e+03,6.780e+05,6.823e+05
60.6,2.381e+03,1.720e+03,7.468e+05,7.509e+05
62.2,2.826e+03,1.728e+03,8.421e+05,8.467e+05
63.8,3.675e+03,1.648e+03,9.708e+05,9.761e+05
65.4,4.857e+03,1.850e+03,1.133e+06,1.140e+06
67.0,6.537e+03,2.560e+03,1.173e+06,1.182e+06
68.5,9.191e+03,2.963e+03,1.230e+06,1.242e+06
70.1,1.342e+04,2.790e+03,1.443e+06,1.459e+06
71.7,2.137e+04,2.780e+03,1.750e+06,1.774e+06
73.3,3.230e+04,2.940e+03,2.118e+06,2.153e+06
74.9,4.161e+04,2.647e+03,2.506e+06,2.550e+06
76.5,4.887e+04,2.674e+03,2.916e+06,2.968e+06
78.1,5.376e+04,4.170e+03,3.386e+06,3.444e+06
79.7,5.672e+04,8.588e+03,3.860e+06,3.925e+06
81.3,5.162e+04,1.371e+04,4.224e+06,4.289e+06
82.9,4.653e+04,1.943e+04,4.509e+06,4.575e+06
84.5,4.958e+04,2.636e+04,5.121e+06,5.197e+06
86.1,7.779e+04,4.723e+04,6.419e+06,6.544e+06
87.7,8.834e+04,1.773e+05,8.771e+06,9.036e+06
89.3,7.082e+04,2.531e+05,1.265e+07,1.297e+07
90.9,1.016e+05,1.344e+05,1.815e+07,1.838e+07
92.5,1.704e+05,3.791e+04,2.406e+07,2.427e+07
94.1,2.151e+05,4.352e+04,2.823e+07,2.849e+07
95.6,2.146e+05,8.523e+04,2.964e+07,2.994e+07
97.2,1.919e+05,7.557e+04,2.754e+07,2.781e+07
98.8,1.713e+05,9.194e+04,2.519e+07,2.545e+07
100.4,1.463e+05,1.204e+05,2.283e+07,2.310e+07
102.0,1.219e+05,1.397e+05,1.977e+07,2.003e+07
103.6,7.819e+04,1.725e+05,1.772e+07,1.797e+07
105.2,4.791e+04,1.162e+05,1.682e+07,1.699e+07
106.8,3.418e+04,8.561e+04,1.458e+07,1.470e+07
108.4,2.501e+04,8.413e+04,1.215e+07,1.226e+07
110.0,1.830e+04,7.573e+04,1.019e+07,1.028e+07
111.6,1.390e+04,7.957e+04,8.448e+06,8.541e+06
113.2,1.141e+04,8.295e+04,7.338e+06,7.432e+06
114.8,1.306e+04,8.308e+04,6.603e+06,6.699e+06
116.4,1.724e+04,8.164e+04,5.948e+06,6.047e+06
118.0,2.177e+04,7.180e+04,5.400e+06,5.493e+06
119.6,3.439e+04,5.535e+04,5.184e+06,5.274e+06
121.2,5.388e+04,3.587e+04,5.230e+06,5.320e+06
122.7,7.248e+04,2.104e+04,5.355e+06,5.449e+06
124.3,8.489e+04,1.409e+04,5.466e+06,5.565e+06
125.9,8.704e+04,1.192e+04,5.433e+06,5.532e+06
127.5,9.502e+04,1.224e+04,5.268e+06,5.375e+06
129.1,1.063e+05,1.695e+04,4.960e+06,5.083e+06
130.7,1.154e+05,2.127e+04,4.594e+06,4.731e+06
132.3,1.147e+05,2.357e+04,4.336e+06,4.474e+06
133.9,1.063e+05,2.395e+04,4.039e+06,4.169e+06
135.5,1.037e+05,2.407e+04,3.761e+06,3.889e+06
137.1,1.063e+05,2.351e+04,3.553e+06,3.683e+06
138.7,1.130e+05,2.434e+04,3.395e+06,3.532e+06
140.3,1.160e+05,3.634e+04,3.184e+06,3.337e+06
141.9,1.151e+05,3.154e+04,2.990e+06,3.137e+06
143.5,1.085e+05,2.369e+04,2.818e+06,2.950e+06
145.1,1.051e+05,2.298e+04,2.682e+06,2.810e+06
146.7,1.044e+05,2.564e+04,2.579e+06,2.709e+06
148.3,9.733e+04,2.346e+04,2.369e+06,2.490e+06
149.8,4.780e+04,1.359e+04,1.133e+06,1.194e+06
151.4,8.126e+03,7.195e+03,1.065e+05,1.218e+05
153.0,7.835e+03,7.616e+03,3.880e+04,5.425e+04
154.6,1.005e+04,8.131e+03,3.851e+04,5.669e+04
156.2,6.495e+03,8.452e+03,3.869e+04,5.364e+04
157.8,5.312e+03,7.958e+03,3.890e+04,5.217e+04
159.4,5.117e+03,7.255e+03,3.828e+04,5.065e+04
161.0,4.780e+03,7.111e+03,3.678e+04,4.867e+04
162.6,3.956e+03,7.440e+03,3.456e+04,4.596e+04
164.2,4.004e+03,7.854e+03,3.433e+04,4.618e+04
165.8,4.462e+03,8.261e+03,3.364e+04,4.636e+04
167.4,4.527e+03,8.720e+03,3.273e+04,4.598e+04
169.0,5.488e+03,8.974e+03,3.268e+04,4.714e+04
170.6,8.205e+03,9.041e+03,3.182e+04,4.907e+04
172.2,7.541e+03,9.435e+03,3.065e+04,4.763e+04
173.8,1.230e+04,1.053e+04,2.961e+04,5.244e+04
175.4,3.033e+04,1.606e+04,3.109e+04,7.749e+04
176.9,5.587e+04,3.634e+04,3.783e+04,1.300e+05
178.5,4.531e+04,4.527e+04,3.665e+04,1.272e+05
180.1,1.553e+04,4.181e+04,3.092e+04,8.825e+04
181.7,9.227e+03,5.143e+04,2.786e+04,8.852e+04
183.3,7.122e+03,5.125e+04,2.536e+04,8.374e+04
184.9,2.097e+04,5.290e+04,2.451e+04,9.837e+04
186.5,4.191e+04,5.864e+04,2.512e+04,1.257e+05
188.1,4.695e+04,6.311e+04,2.694e+04,1.370e+05
189.7,4.539e+04,6.691e+04,2.907e+04,1.414e+05
191.3,2.784e+04,5.992e+04,2.750e+04,1.153e+05
192.9,1.377e+04,7.605e+04,2.481e+04,1.146e+05
194.5,7.773e+03,9.942e+04,2.320e+04,1.304e+05
196.1,1.176e+04,9.726e+04,2.365e+04,1.327e+05
197.7,2.219e+04,7.696e+04,2.451e+04,1.237e+05
199.3,1.609e+04,6.665e+04,2.288e+04,1.056e+05
