freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.770e+03,2.956e+02,2.258e+02,4.291e+03
1.6,2.458e+03,5.758e+02,3.725e+02,3.407e+03
3.2,7.281e+02,5.709e+02,3.219e+02,1.621e+03
4.8,2.191e+03,4.992e+02,3.012e+02,2.992e+03
6.4,5.673e+03,5.080e+02,2.949e+02,6.476e+03
8.0,9.194e+03,4.950e+02,3.009e+02,9.990e+03
9.6,1.316e+04,5.556e+02,2.978e+02,1.401e+04
11.2,1.808e+04,6.293e+02,3.214e+02,1.903e+04
12.8,2.388e+04,6.344e+02,3.345e+02,2.485e+04
14.3,3.082e+04,6.581e+02,3.257e+02,3.180e+04
15.9,4.013e+04,5.526e+02,3.369e+02,4.101e+04
17.5,5.294e+04,5.217e+02,4.037e+02,5.386e+04
19.1,5.988e+04,6.079e+02,3.975e+02,6.089e+04
20.7,4.936e+04,6.531e+02,4.043e+02,5.042e+04
22.3,4.728e+04,6.507e+02,4.909e+02,4.843e+04
23.9,5.690e+04,7.383e+02,4.928e+02,5.813e+04
25.5,7.297e+04,8.242e+02,4.767e+02,7.427e+04
27.1,9.191e+04,7.747e+02,4.780e+02,9.316e+04
28.7,1.125e+05,7.704e+02,5.113e+02,1.138e+05
30.3,1.330e+05,7.660e+02,6.491e+02,1.344e+05
31.9,1.492e+05,9.540e+02,7.492e+02,1.509e+05
33.5,1.609e+05,1.122e+03,7.821e+02,1.628e+05
35.1,1.774e+05,1.362e+03,6.684e+02,1.794e+05
36.7,2.047e+05,1.386e+03,5.616e+02,2.067e+05
38.3,2.376e+05,1.301e+03,6.472e+02,2.395e+05
39.9,2.561e+05,1.359e+03,8.065e+02,2.582e+05
41.4,2.663e+05,1.432e+03,7.248e+02,2.684e+05
43.0,2.929e+05,1.503e+03,6.353e+02,2.950e+05
44.6,3.270e+05,1.497e+03,6.751e+02,3.291e+05
46.2,3.664e+05,1.489e+03,5.488e+02,3.685e+05
47.8,4.215e+05,1.510e+03,5.061e+02,4.235e+05
49.4,4.939e+05,1.613e+03,4.847e+02,4.960e+05
51.0,5.857e+05,1.615e+03,4.210e+02,5.878e+05
52.6,6.933e+05,1.774e+03,3.722e+02,6.955e+05
54.2,8.184e+05,1.896e+03,3.787e+02,8.206e+05
55.8,9.884e+05,1.716e+03,4.365e+02,9.905e+05
57.4,1.240e+06,1.198e+03,7.879e+02,1.242e+06
59.0,1.582e+06,1.193e+03,1.936e+03,1.585e+06
60.6,1.987e+06,1.954e+03,4.195e+03,1.993e+06
62.2,2.452e+06,3.106e+03,7.345e+03,2.463e+06
63.8,3.136e+06,4.966e+03,1.095e+04,3.152e+06
65.4,4.168e+06,1.107e+04,1.454e+04,4.194e+06
67.0,5.770e+06,3.350e+04,3.323e+04,5.837e+06
68.5,7.938e+06,8.314e+04,9.300e+04,8.114e+06
70.1,1.021e+07,1.791e+05,1.701e+05,1.056e+07
71.7,1.316e+07,4.172e+05,2.911e+05,1.387e+07
73.3,1.576e+07,7.274e+05,4.573e+05,1.694e+07
