freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.515e+03,5.765e+03,2.315e+03,1.760e+04
1.6,5.156e+04,3.676e+04,1.534e+03,8.986e+04
3.2,5.230e+04,3.907e+04,3.533e+02,9.172e+04
4.8,4.837e+04,3.040e+04,9.915e+02,7.977e+04
6.4,4.696e+04,3.107e+04,2.543e+03,8.058e+04
8.0,4.305e+04,2.794e+04,3.820e+03,7.481e+04
9.6,4.456e+04,3.021e+04,5.307e+03,8.008e+04
11.1,5.439e+04,3.563e+04,7.122e+03,9.714e+04
12.7,4.854e+04,3.177e+04,9.491e+03,8.980e+04
14.3,4.372e+04,2.840e+04,1.212e+04,8.425e+04
15.9,4.174e+04,2.714e+04,1.524e+04,8.412e+04
17.5,4.370e+04,2.675e+04,1.834e+04,8.879e+04
19.1,4.599e+04,2.787e+04,2.116e+04,9.502e+04
20.7,4.407e+04,2.750e+04,2.509e+04,9.666e+04
22.3,4.229e+04,2.771e+04,3.113e+04,1.011e+05
23.9,3.653e+04,2.315e+04,3.706e+04,9.674e+04
25.5,4.065e+04,2.662e+04,3.931e+04,1.066e+05
27.1,4.526e+04,2.979e+04,3.871e+04,1.138e+05
28.7,4.613e+04,2.890e+04,4.207e+04,1.171e+05
30.2,3.664e+04,2.394e+04,4.855e+04,1.091e+05
31.8,3.265e+04,2.152e+04,5.654e+04,1.107e+05
33.4,3.105e+04,2.142e+04,6.476e+04,1.172e+05
35.0,3.754e+04,2.520e+04,7.213e+04,1.349e+05
36.6,3.900e+04,2.418e+04,7.987e+04,1.431e+05
38.2,3.632e+04,2.225e+04,9.026e+04,1.488e+05
39.8,2.897e+04,1.775e+04,1.009e+05,1.476e+05
41.4,2.938e+04,1.867e+04,1.114e+05,1.594e+05
43.0,3.732e+04,2.434e+04,1.247e+05,1.864e+05
44.6,4.189e+04,2.751e+04,1.381e+05,2.075e+05
46.2,3.865e+04,2.379e+04,1.440e+05,2.065e+05
47.8,3.219e+04,1.965e+04,1.330e+05,1.848e+05
49.3,3.217e+04,2.066e+04,1.297e+05,1.825e+05
50.9,3.482e+04,2.254e+04,1.420e+05,1.994e+05
52.5,3.725e+04,2.338e+04,1.585e+05,2.192e+05
54.1,3.558e+04,2.114e+04,1.791e+05,2.358e+05
55.7,2.844e+04,1.850e+04,2.026e+05,2.495e+05
57.3,2.940e+04,2.222e+04,2.248e+05,2.764e+05
58.9,3.586e+04,2.242e+04,2.476e+05,3.059e+05
60.5,4.151e+04,2.314e+04,2.720e+05,3.366e+05
62.1,4.197e+04,2.429e+04,3.029e+05,3.691e+05
63.7,4.084e+04,2.298e+04,3.381e+05,4.019e+05
65.3,3.668e+04,2.210e+04,3.795e+05,4.383e+05
66.9,3.876e+04,2.199e+04,4.236e+05,4.843e+05
68.4,4.019e+04,2.260e+04,4.746e+05,5.374e+05
70.0,4.173e+04,2.587e+04,5.310e+05,5.986e+05
71.6,4.459e+04,2.826e+04,5.935e+05,6.663e+05
73.2,4.653e+04,2.928e+04,6.570e+05,7.328e+05
74.8,5.357e+04,3.297e+04,7.310e+05,8.175e+05
76.4,5.618e+04,3.539e+04,8.193e+05,9.109e+05
78.0,5.212e+04,3.657e+04,9.159e+05,1.005e+06
79.6,5.914e+04,4.111e+04,1.022e+06,1.122e+06
