freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.693e+03,8.060e+03,1.365e+02,1.489e+04
1.6,4.115e+04,3.228e+04,3.186e+02,7.374e+04
3.2,5.886e+04,3.782e+04,3.096e+02,9.699e+04
4.8,6.333e+04,4.632e+04,3.089e+02,1.100e+05
6.4,6.132e+04,4.713e+04,3.021e+02,1.088e+05
8.0,5.663e+04,4.509e+04,3.100e+02,1.020e+05
9.6,5.260e+04,4.389e+04,3.283e+02,9.682e+04
11.2,5.480e+04,4.705e+04,3.248e+02,1.022e+05
12.8,5.486e+04,4.902e+04,3.175e+02,1.042e+05
14.4,5.575e+04,5.169e+04,3.235e+02,1.078e+05
16.0,5.475e+04,5.797e+04,3.925e+02,1.131e+05
17.5,4.508e+04,5.166e+04,6.841e+02,9.743e+04
19.1,4.825e+04,5.156e+04,1.155e+03,1.010e+05
20.7,4.813e+04,5.342e+04,1.317e+03,1.029e+05
22.3,4.748e+04,5.762e+04,1.396e+03,1.065e+05
23.9,5.301e+04,6.375e+04,1.376e+03,1.181e+05
25.5,5.004e+04,6.545e+04,1.166e+03,1.167e+05
27.1,4.435e+04,6.503e+04,8.169e+02,1.102e+05
28.7,4.508e+04,7.160e+04,6.346e+02,1.173e+05
30.3,4.781e+04,8.296e+04,7.085e+02,1.315e+05
31.9,5.129e+04,9.184e+04,8.708e+02,1.440e+05
33.5,5.146e+04,9.678e+04,1.115e+03,1.494e+05
35.1,4.774e+04,1.006e+05,9.959e+02,1.493e+05
36.7,4.773e+04,1.052e+05,7.414e+02,1.536e+05
38.3,5.753e+04,1.175e+05,6.278e+02,1.756e+05
39.9,6.418e+04,1.311e+05,7.264e+02,1.960e+05
41.5,5.921e+04,1.366e+05,8.981e+02,1.967e+05
43.1,5.654e+04,1.407e+05,1.081e+03,1.983e+05
44.7,5.295e+04,1.520e+05,1.527e+03,2.065e+05
46.3,5.378e+04,1.706e+05,2.587e+03,2.269e+05
47.9,5.137e+04,1.935e+05,3.193e+03,2.481e+05
49.4,5.155e+04,2.113e+05,2.706e+03,2.656e+05
51.0,5.178e+04,2.334e+05,1.933e+03,2.871e+05
52.6,6.041e+04,2.599e+05,1.512e+03,3.218e+05
54.2,6.656e+04,2.918e+05,1.382e+03,3.597e+05
55.8,7.203e+04,3.235e+05,1.292e+03,3.968e+05
57.4,7.081e+04,3.507e+05,1.102e+03,4.226e+05
59.0,6.456e+04,3.887e+05,1.041e+03,4.543e+05
60.6,6.583e+04,4.353e+05,1.087e+03,5.022e+05
62.2,8.412e+04,4.955e+05,1.136e+03,5.807e+05
63.8,9.476e+04,5.584e+05,1.170e+03,6.544e+05
