freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.635e+03,3.386e+03,1.440e+03,1.046e+04
1.6,2.667e+04,1.822e+04,1.122e+03,4.601e+04
3.2,4.294e+04,2.637e+04,4.401e+02,6.976e+04
4.8,4.275e+04,2.632e+04,8.336e+02,6.990e+04
6.4,3.738e+04,2.437e+04,1.600e+03,6.335e+04
8.0,3.682e+04,2.423e+04,2.230e+03,6.328e+04
9.6,3.906e+04,2.601e+04,3.065e+03,6.813e+04
11.2,4.281e+04,2.783e+04,4.072e+03,7.470e+04
12.8,4.338e+04,2.728e+04,5.262e+03,7.592e+04
14.3,4.337e+04,2.699e+04,6.685e+03,7.705e+04
15.9,3.920e+04,2.607e+04,8.248e+03,7.352e+04
17.5,3.929e+04,2.523e+04,9.846e+03,7.436e+04
19.1,3.855e+04,2.496e+04,1.148e+04,7.500e+04
20.7,3.720e+04,2.394e+04,1.338e+04,7.453e+04
22.3,3.943e+04,2.485e+04,1.637e+04,8.065e+04
23.9,4.197e+04,2.622e+04,1.952e+04,8.771e+04
25.5,4.125e+04,2.526e+04,2.124e+04,8.775e+04
27.1,3.847e+04,2.388e+04,2.121e+04,8.356e+04
28.7,3.566e+04,2.338e+04,2.307e+04,8.211e+04
30.3,3.191e+04,2.050e+04,2.532e+04,7.773e+04
31.9,3.108e+04,1.899e+04,2.895e+04,7.901e+04
33.5,3.042e+04,1.820e+04,3.282e+04,8.144e+04
35.1,3.375e+04,2.135e+04,3.634e+04,9.144e+04
36.7,3.978e+04,2.514e+04,3.992e+04,1.048e+05
38.3,3.449e+04,2.169e+04,4.519e+04,1.014e+05
39.9,2.940e+04,1.947e+04,5.083e+04,9.969e+04
41.5,2.978e+04,1.949e+04,5.522e+04,1.045e+05
43.0,3.705e+04,2.401e+04,6.171e+04,1.228e+05
44.6,4.022e+04,2.504e+04,6.922e+04,1.345e+05
46.2,3.448e+04,2.213e+04,7.382e+04,1.304e+05
47.8,3.044e+04,1.913e+04,6.841e+04,1.180e+05
49.4,3.545e+04,2.088e+04,6.608e+04,1.224e+05
51.0,3.483e+04,2.178e+04,7.193e+04,1.285e+05
52.6,3.542e+04,2.221e+04,8.120e+04,1.388e+05
54.2,3.176e+04,1.882e+04,9.146e+04,1.420e+05
55.8,3.307e+04,1.961e+04,1.024e+05,1.551e+05
57.4,3.636e+04,2.139e+04,1.142e+05,1.719e+05
