freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.766e+03,3.185e+03,1.097e+02,6.060e+03
1.6,1.303e+04,1.010e+04,3.857e+02,2.351e+04
3.2,1.590e+04,1.137e+04,4.121e+02,2.768e+04
4.8,1.665e+04,1.084e+04,4.220e+02,2.791e+04
6.4,1.780e+04,1.299e+04,4.340e+02,3.123e+04
8.0,1.618e+04,1.339e+04,4.356e+02,3.001e+04
9.6,1.511e+04,1.307e+04,4.072e+02,2.859e+04
11.2,1.378e+04,1.395e+04,4.215e+02,2.816e+04
12.8,1.539e+04,1.668e+04,4.050e+02,3.248e+04
14.3,1.811e+04,2.085e+04,3.916e+02,3.935e+04
15.9,1.708e+04,2.211e+04,4.471e+02,3.963e+04
17.5,1.427e+04,2.208e+04,6.315e+02,3.698e+04
19.1,1.687e+04,2.217e+04,9.375e+02,3.997e+04
20.7,1.613e+04,2.131e+04,1.000e+03,3.844e+04
22.3,1.614e+04,2.171e+04,1.019e+03,3.886e+04
23.9,1.634e+04,2.533e+04,1.109e+03,4.278e+04
25.5,1.723e+04,2.869e+04,1.145e+03,4.706e+04
27.1,1.863e+04,3.168e+04,8.539e+02,5.117e+04
28.7,1.892e+04,3.584e+04,5.819e+02,5.534e+04
30.3,1.793e+04,3.865e+04,5.193e+02,5.710e+04
31.9,1.882e+04,4.324e+04,6.274e+02,6.269e+04
33.5,1.807e+04,4.593e+04,7.369e+02,6.474e+04
35.1,1.687e+04,4.630e+04,7.620e+02,6.393e+04
36.7,1.757e+04,4.957e+04,6.235e+02,6.777e+04
38.3,1.749e+04,5.287e+04,5.579e+02,7.093e+04
39.9,1.848e+04,5.803e+04,5.919e+02,7.711e+04
41.5,1.545e+04,6.093e+04,6.274e+02,7.701e+04
43.0,1.449e+04,6.401e+04,7.224e+02,7.922e+04
44.6,1.525e+04,6.970e+04,1.091e+03,8.604e+04
46.2,1.804e+04,8.078e+04,1.659e+03,1.005e+05
47.8,1.988e+04,9.471e+04,1.902e+03,1.165e+05
